[16:35:18] [INFO] received Windows console close event; shutting log-core down
[23:05:07] [INFO] received Windows console close event; shutting log-core down
[09:59:40] [INFO] received Windows console close event; shutting log-core down
[10:10:41] [INFO] received Windows console close event; shutting log-core down
[10:32:09] [INFO] received Windows console close event; shutting log-core down
[10:33:26] [INFO] received Windows console close event; shutting log-core down
[10:34:32] [INFO] received Windows console close event; shutting log-core down
[11:04:20] [INFO] received Windows console close event; shutting log-core down
[11:13:47] [INFO] received Windows console close event; shutting log-core down
[11:23:52] [INFO] received Windows console close event; shutting log-core down
[13:59:19] [INFO] received Windows console close event; shutting log-core down
[12:37:22] [INFO] received Windows console close event; shutting log-core down
[13:23:13] [INFO] received Windows console close event; shutting log-core down
[13:29:43] [INFO] received Windows console close event; shutting log-core down
[13:31:53] [INFO] received Windows console close event; shutting log-core down
[15:50:39] [INFO] received Windows console close event; shutting log-core down
[21:47:34] [INFO] received Windows console close event; shutting log-core down
[02:12:06] [INFO] received Windows console close event; shutting log-core down
[16:59:50] [INFO] received Windows console close event; shutting log-core down
[20:26:28] [INFO] received Windows console close event; shutting log-core down
[19:43:21] [INFO] received Windows console close event; shutting log-core down
[17:00:29] [INFO] received Windows console close event; shutting log-core down
[09:51:37] [INFO] received Windows console close event; shutting log-core down
[09:59:19] [INFO] received Windows console close event; shutting log-core down
[10:00:54] [INFO] received Windows console close event; shutting log-core down
[10:02:34] [INFO] received Windows console close event; shutting log-core down
[10:04:13] [INFO] received Windows console close event; shutting log-core down
[10:05:02] [INFO] received Windows console close event; shutting log-core down
[10:19:34] [INFO] received Windows console close event; shutting log-core down
[17:49:30] [INFO] received Windows console close event; shutting log-core down
[19:11:28] [INFO] received Windows console close event; shutting log-core down
[19:19:28] [INFO] received Windows console close event; shutting log-core down
[19:24:34] [INFO] received Windows console close event; shutting log-core down
[20:23:55] [INFO] received Windows console close event; shutting log-core down
[20:40:20] [INFO] received Windows console close event; shutting log-core down
[20:41:34] [INFO] received Windows console close event; shutting log-core down
[20:44:42] [INFO] received Windows console close event; shutting log-core down
[20:50:14] [INFO] received Windows console close event; shutting log-core down
[20:56:07] [INFO] received Windows console close event; shutting log-core down
[21:24:10] [INFO] received Windows console close event; shutting log-core down
[21:27:19] [INFO] received Windows console close event; shutting log-core down
[21:36:38] [INFO] received Windows console close event; shutting log-core down
[21:46:08] [INFO] received Windows console close event; shutting log-core down
[21:54:05] [INFO] received Windows console close event; shutting log-core down
[22:23:08] [INFO] received Windows console close event; shutting log-core down
[22:32:05] [INFO] received Windows console close event; shutting log-core down
[22:47:51] [INFO] received Windows console close event; shutting log-core down
[16:30:01] [INFO] received Windows console close event; shutting log-core down
[16:43:28] [INFO] received Windows console close event; shutting log-core down
[16:49:58] [INFO] received Windows console close event; shutting log-core down
[17:12:30] [INFO] received Windows console close event; shutting log-core down
[15:52:10] [INFO] received Windows console close event; shutting log-core down
[15:56:05] [INFO] received Windows console close event; shutting log-core down
[15:56:06] [INFO] received Windows console close event; shutting log-core down
[15:59:12] [INFO] received Windows console close event; shutting log-core down
[16:02:24] [INFO] received Windows console close event; shutting log-core down
[16:22:28] [INFO] received Windows console close event; shutting log-core down
[16:56:10] [INFO] received Windows console close event; shutting log-core down
[19:58:28] [INFO] received Windows console close event; shutting log-core down
[16:36:36] [INFO] received Windows console close event; shutting log-core down
[16:41:31] [INFO] received Windows console close event; shutting log-core down
[17:08:20] [INFO] received Windows console close event; shutting log-core down
[18:19:39] [INFO] received Windows console close event; shutting log-core down
[14:26:00] [INFO] received Windows console close event; shutting log-core down
[14:35:22] [INFO] received Windows console close event; shutting log-core down
[14:37:04] [INFO] received Windows console close event; shutting log-core down
[14:38:00] [INFO] received Windows console close event; shutting log-core down
[14:47:30] [INFO] received Windows console close event; shutting log-core down
[14:49:10] [INFO] received Windows console close event; shutting log-core down
[15:04:14] [INFO] received Windows console close event; shutting log-core down
[15:29:42] [INFO] received Windows console close event; shutting log-core down
[15:59:04] [INFO] received Windows console close event; shutting log-core down
[18:42:01] [INFO] received Windows console close event; shutting log-core down
[22:01:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:01:00] [INFO] received Windows console close event; shutting log-core down
[14:44:13] [INFO] received Windows console close event; shutting log-core down
[16:41:16] [INFO] received Windows console close event; shutting log-core down
[16:43:40] [INFO] received Windows console close event; shutting log-core down
[16:55:27] [INFO] received Windows console close event; shutting log-core down
[17:01:13] [INFO] received Windows console close event; shutting log-core down
[17:27:53] [INFO] received Windows console close event; shutting log-core down
[19:42:21] [INFO] received Windows console close event; shutting log-core down
[19:44:09] [INFO] received Windows console close event; shutting log-core down
[19:45:38] [INFO] received Windows console close event; shutting log-core down
[19:46:04] [INFO] received Windows console close event; shutting log-core down
[19:52:51] [INFO] received Windows console close event; shutting log-core down
[19:52:54] [INFO] received Windows console close event; shutting log-core down
[19:52:55] [INFO] received Windows console close event; shutting log-core down
[19:54:44] [INFO] received Windows console close event; shutting log-core down
[20:05:40] [INFO] received Windows console close event; shutting log-core down
[20:09:41] [INFO] received Windows console close event; shutting log-core down
[20:33:42] [INFO] received Windows console close event; shutting log-core down
[20:47:07] [INFO] received Windows console close event; shutting log-core down
[20:54:19] [INFO] received Windows console close event; shutting log-core down
[21:07:27] [INFO] received Windows console close event; shutting log-core down
[21:23:48] [INFO] received Windows console close event; shutting log-core down
[21:27:39] [INFO] received Windows console close event; shutting log-core down
[22:02:38] [INFO] received Windows console close event; shutting log-core down
[01:30:15] [INFO] received Windows console close event; shutting log-core down
[01:32:05] [INFO] received Windows console close event; shutting log-core down
[01:34:43] [INFO] received Windows console close event; shutting log-core down
[01:39:58] [INFO] received Windows console close event; shutting log-core down
[01:43:56] [INFO] received Windows console close event; shutting log-core down
[02:06:32] [INFO] received Windows console close event; shutting log-core down
[02:11:15] [INFO] received Windows console close event; shutting log-core down
[02:25:47] [INFO] received Windows console close event; shutting log-core down
[02:39:46] [INFO] received Windows console close event; shutting log-core down
[16:33:40] [INFO] received Windows console close event; shutting log-core down
[21:11:24] [INFO] received Windows console close event; shutting log-core down
[21:16:54] [INFO] received Windows console close event; shutting log-core down
[09:22:49] [INFO] received Windows console close event; shutting log-core down
[10:46:34] [INFO] received Windows console close event; shutting log-core down
[10:49:27] [INFO] received Windows console close event; shutting log-core down
[10:50:43] [INFO] received Windows console close event; shutting log-core down
[10:52:03] [INFO] received Windows console close event; shutting log-core down
[11:20:33] [INFO] received Windows console close event; shutting log-core down
[19:21:55] [INFO] received Windows console close event; shutting log-core down
[20:54:13] [INFO] received Windows console close event; shutting log-core down
[20:57:29] [INFO] received Windows console close event; shutting log-core down
[21:19:42] [INFO] received Windows console close event; shutting log-core down
[21:22:23] [INFO] received Windows console close event; shutting log-core down
[21:23:47] [INFO] received Windows console close event; shutting log-core down
[21:27:13] [INFO] received Windows console close event; shutting log-core down
[21:36:35] [INFO] received Windows console close event; shutting log-core down
[23:15:10] [INFO] received Windows console close event; shutting log-core down
[00:09:48] [INFO] received Windows console close event; shutting log-core down
[15:50:10] [INFO] received Windows console close event; shutting log-core down
[19:36:36] [INFO] received Windows console close event; shutting log-core down
[19:44:56] [INFO] received Windows console close event; shutting log-core down
[21:03:38] [INFO] received Windows console close event; shutting log-core down
[00:14:25] [INFO] received Windows console close event; shutting log-core down
[00:36:22] [INFO] received Windows console close event; shutting log-core down
[01:21:43] [INFO] received Windows console close event; shutting log-core down
[18:11:24] [INFO] received Windows console close event; shutting log-core down
[21:54:10] [INFO] received Windows console close event; shutting log-core down
[01:39:56] [INFO] received Windows console close event; shutting log-core down
[05:23:39] [INFO] received Windows console close event; shutting log-core down
[20:28:09] [INFO] received Windows console close event; shutting log-core down
[20:30:37] [INFO] received Windows console close event; shutting log-core down
[20:32:49] [INFO] received Windows console close event; shutting log-core down
[20:45:21] [INFO] received Windows console close event; shutting log-core down
[20:47:27] [INFO] received Windows console close event; shutting log-core down
[20:47:45] [INFO] received Windows console close event; shutting log-core down
[20:51:25] [INFO] received Windows console close event; shutting log-core down
[21:16:10] [INFO] received Windows console close event; shutting log-core down
[21:44:09] [INFO] received Windows console close event; shutting log-core down
[22:56:37] [INFO] received Windows console close event; shutting log-core down
[23:19:14] [INFO] received Windows console close event; shutting log-core down
[22:03:37] [INFO] received Windows console close event; shutting log-core down
[23:49:16] [INFO] received Windows console close event; shutting log-core down
[19:26:18] [INFO] received Windows console close event; shutting log-core down
[05:45:47] [INFO] received Windows console close event; shutting log-core down
[01:26:28] [INFO] received Windows console close event; shutting log-core down
[20:28:24] [INFO] received Windows console close event; shutting log-core down
[20:37:31] [INFO] received Windows console close event; shutting log-core down
